+H
1) Allgemeine Informationen
ID	M340
Strukturschlssel
Texttitel	Johannes Tauler: Predigten (W2)
Textkrzel
a) ReM	Taul
b) MWB	Tauler
c) MiGraKo-intern	V-4a-P_Taul
Textbereich	Religion
Textsorte, spezifisch	Predigten
Textart	P
Prim„re Referenz	Handschrift
Sekund„re Referenz	Edition [Seite+Zeile]
2) šberlieferungstr„ger
Aufbewahrungsort	Wien, ™sterr. Nationalbibl.
Signatur	Cod. 2744
Handschriftencensus	http://www.handschriftencensus.de/11108
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe	Bl. 1r-174v
Ausschnitt	"Bl. 1-20r,2; 79r,6-97v,6; 159r,8-178r,16"
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	ripuarisch
Lokalisierung	K”ln?
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,2
Zeit (genauere Datierung)	14,4V
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text
Lokalisierung_Text
Autor
Sprache des Autors
šbersetzungsvorlage
Edition	Adolphe L‚on Corin (Hg.), Sermons de J. Tauler et autres ‚crits mystiques. I. Le Codex Vindobonensis 2744 (BibliothŠque de la Facult‚ de Philosophie et Lettres de l'Universit‚ de Li‚ge 33), Li‚ge/Paris 1924
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	Hans-Peter Prell (Bochum), Erika Schr”ppel (IgL, Bonn)
Bearbeiter: Kollationierung	Anke Gummersbach, Bernd Lucke, Erika Schr”ppel (IgL, Bonn), E. Lieven (Bonn, IgL)
Bearbeiter: Pr„editierung	Frank Ringeler (Bonn)
Bearbeiter: Annotierung	Frank Ringeler (Bonn)
Bearbeiter: Korrektur	Thomas Klein, Elke Weber (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:48: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:13: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:53: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:52: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:37: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`[!] @[!]	ùrevelare*	#[!]	^	~revela	\*{R*}euela	_Vú4aúP_Taul-001r,01{262,01}.01	ø	:	*³*{R*}euela=revela³
`[!] @[!]	ùdominus*	#[!]	^	~domino	\dn\-o	_Vú4aúP_Taul-001r,01{262,01}.02	ø	:	*³dn\-o=domino³
`[!] @[!]	ùvia*	#[!]	^	~viam	\viam	_Vú4aúP_Taul-001r,01{262,01}.03	ø	:	*³viam=viam³
`[!] @[!]	ùtuus*	#[!]	^	~tuam	\tuam	_Vú4aúP_Taul-001r,01{262,01}.04@	ø	:	*³tuam=tuam³
`[!] @[!]	ùet*	#[!]	^	~et	\et	_Vú4aúP_Taul-001r,02{262,02}.01	ø	:	*³et=et³
`[!] @[!]	ùsperare*	#[!]	^	~spera	\$pera	_Vú4aúP_Taul-001r,02{262,02}.02	ø	:	*³$pera=spera³
`[!] @[!]	ùin*	#[!]	^	~in	\in	_Vú4aúP_Taul-001r,02{262,02}.03	ø	:	*³in=in³
`[!] @[!]	ùis*	#[!]	^	~eo	\eo	_Vú4aúP_Taul-001r,02{262,02}.04	ø	:	*³eo=eo³
`[!] @[!]	ùet*	#[!]	^	~et	\et	_Vú4aúP_Taul-001r,02{262,02}.05	ø	:	*³et=et³
`[!] @[!]	ùipse*	#[!]	^	~ipse	\ip$e	_Vú4aúP_Taul-001r,02{262,02}.06	ø	:	*³ip$e=ipse³
`[!] @[!]	ùfacere*	#[!]	^	~faciet	\fa(=)ciet%.	_Vú4aúP_Taul-001r,02{262,03}.07@	ø	:	*³faciet=faciet³
`[!] @[!]	ùet*	#[!]	^	~et	\*(e*)t	_Vú4aúP_Taul-001r,03{262,03}.01	ø	:	*³*(e*)t=et³
`[!] @[!]	ùeducere*	#[!]	^	~educet	\educet	_Vú4aúP_Taul-001r,03{262,03}.02	ø	:	*³educet=educet³
`[!] @[!]	ùquasi*	#[!]	^	~quasi	\qua$i	_Vú4aúP_Taul-001r,03{262,03}.03@	ø	:	*³qua$i=quasi³
`[!] @[!]	ùlumen*	#[!]	^	~lumen	\lume\-	_Vú4aúP_Taul-001r,04{262,03}.01	ø	:	*³lume\-=lumen³
`[!] @[!]	ùiusticia*	#[!]	^	~iusticiam	\iu$ticiam	_Vú4aúP_Taul-001r,04{262,04}.02	ø	:	*³iu$ticiam=iusticiam³
`[!] @[!]	ùtuus*	#[!]	^	~tuam	\tuam	_Vú4aúP_Taul-001r,04{262,04}.03@	ø	:	*³tuam=tuam³
`[!] @[!]	ùet*	#[!]	^	~et	\et	_Vú4aúP_Taul-001r,05{262,04}.01	ø	:	*³et=et³
`[!] @[!]	ùiudicium*	#[!]	^	~iudiciun	\iudiciu\-	_Vú4aúP_Taul-001r,05{262,04}.02	ø	:	*³iudiciu\-=iudiciun³
`[!] @[!]	ùtuus*	#[!]	^	~tuun	\tuu\-	_Vú4aúP_Taul-001r,05{262,05}.03	ø	:	*³tuu\-=tuun³
`[!] @[!]	ùtamquam*	#[!]	^	~tamquan	\tamqua\-	_Vú4aúP_Taul-001r,05{262,05}.04	ø	:	*³tamqua\-=tamquan³
`[!] @[!]	ùmeridies*	#[!]	^	~meridien	\meridie\-(;)	_Vú4aúP_Taul-001r,05{262,05}.05@	ø	:	*³meridie\-=meridien³
`[!] @[!]	ùsberditus*	#[!]	^	~sberditus	\$b'ditus	_Vú4aúP_Taul-001r,06{262,06}.01	ø	:	*³$b'ditus=sberditus³
